accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Non-Borrowing,True,Financial Institution,Finance Companies,Lisa Wong,2025-09-24,IN,792321,227742,386207,901953,Existing group relationship.,Rohit Sharma,2024-02-22,Transaction participation counterparty / SPV,HK,Auto disqualified,2039,Prospect_2039,Self,Silver,Gold,Subsidiary,Converted,2386.81,128851.67,190883.56,CASE104412,,Business Acceptance,Low,SINGAPORE,Open,2023-06-17,2022-12-21,2020-11-24,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,False
Borrowing,True,Local Corporate,FI - Financial Sponsors,John Mathews,2023-02-21,US,911800,454949,693213,551809,Existing group relationship.,John Mathews,2022-10-08,Liquidity provider,DE,Client decision,376,Prospect_376,Self,Silver,Portfolio,Standalone,Converted,81388.67,80842.89,198111.06,CASE104413,,Complete,High,INDIA,Open,2022-07-14,2020-03-10,2025-10-05,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Local Corporate,Finance Companies,Amit Singh,2024-06-17,SG,389189,387949,309163,114528,Existing group relationship.,Priya Nair,2024-02-02,Transaction participation counterparty / SPV,US,Auto disqualified,1952,Prospect_1952,User Referral,Portfolio,Portfolio,Standalone,Qualify,77184.92,20018.95,81444.59,CASE104414,,Business Acceptance,Low,HONG KONG,Closed,2023-01-12,2023-12-16,2025-08-14,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,True
Non-Borrowing,True,Global Corporate,Hedge Funds,Sarah Lee,2022-06-28,IN,284259,277367,827632,367409,Existing group relationship.,Maria Garcia,2022-09-07,Liquidity provider,IN,Client decision,2100,Prospect_2100,User Referral,Gold,Gold,Group,Draft,87106.54,113364.76,13360.67,CASE104415,,Business Acceptance,High,HONG KONG,Closed,2023-08-19,2020-09-10,2021-05-08,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,True,Financial Institution,Hedge Funds,Sarah Lee,2021-06-09,AU,956351,544479,876861,566173,Strong revenue potential.,John Mathews,2022-10-10,Transaction participation counterparty / SPV,DE,Client decision,2837,Prospect_2837,User Referral,Qualified,Platinum,Subsidiary,Draft,46618.67,18563.84,120575.95,CASE104416,,Validation,Medium,SINGAPORE,Closed,2020-07-07,2024-12-06,2025-06-18,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,False
Borrowing,True,Middle Market,FI - Financial Sponsors,David Chen,2020-08-09,HK,471534,741992,504434,836026,High strategic importance.,Amit Singh,2025-09-16,Liquidity provider,GB,Auto disqualified,2920,Prospect_2920,User Referral,Converted,Portfolio,Standalone,Onboarding In Progress,7568.4,52804.84,13843.33,CASE104417,LE202921,Complete,Low,HONG KONG,Closed,2022-11-27,2020-11-10,2025-08-12,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Financial Institution,Global Subsidiaries GC,Priya Nair,2025-11-23,HK,978313,942541,335743,812201,Existing group relationship.,Maria Garcia,2021-10-30,Liquidity provider,GB,Auto disqualified,794,Prospect_794,User Referral,Silver,Gold,Subsidiary,Draft,14779.14,15730.75,139382.3,CASE104418,,Complete,High,SINGAPORE,Open,2024-07-01,2023-12-09,2023-09-15,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
Borrowing,False,Middle Market,Middle Markets,Sarah Lee,2024-09-29,DE,423405,616967,600623,999558,High strategic importance.,Lisa Wong,2023-03-02,Liquidity provider,US,Auto disqualified,1583,Prospect_1583,Self,Silver,Platinum,Standalone,Converted,96038.68,59453.92,140741.41,CASE104419,,Validation,High,SINGAPORE,Open,2021-08-21,2021-02-03,2023-08-27,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Borrowing,True,Local Corporate,Financial Sponsors - Portfolio Companies,Kunal Mehta,2025-05-13,SG,941896,710341,128673,942369,Existing group relationship.,Lisa Wong,2021-10-14,Co-Borrower / Guarantor,GB,Client decision,1415,Prospect_1415,User Referral,Lead,Portfolio,Standalone,Qualify,85603.95,128469.41,29606.23,CASE104420,,Complete,High,SINGAPORE,Open,2021-03-10,2024-04-05,2020-09-23,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,True
Non-Borrowing,False,Financial Institution,Middle Markets,Rohit Sharma,2020-05-13,GB,725742,121144,625259,112754,Client meets all KYC requirements.,Sarah Lee,2024-05-07,Transaction participation counterparty / SPV,IN,Client decision,871,Prospect_871,User Referral,Silver,Platinum,Subsidiary,Onboarding In Progress,60671.04,116724.8,152438.9,CASE104421,,Complete,Medium,INDIA,Open,2025-06-17,2022-06-30,2025-01-17,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
Borrowing,False,Financial Institution,Middle Markets,Emily Davis,2025-08-20,US,489190,278149,131356,482938,High strategic importance.,Rohit Sharma,2024-06-27,Co-Borrower / Guarantor,IN,Auto disqualified,928,Prospect_928,User Referral,Lead,Portfolio,Standalone,Qualify,5180.45,136482.78,52402.42,CASE104422,,Complete,Low,HONG KONG,Closed,2024-04-30,2021-07-30,2021-04-06,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,True,Global Corporate,Middle Markets,Emily Davis,2023-11-23,IN,251814,882557,828304,401500,High strategic importance.,David Chen,2021-08-04,None,AU,Auto disqualified,1125,Prospect_1125,User Referral,Converted,Gold,Subsidiary,Qualify,6664.52,80991.73,76098.07,CASE104423,LE201126,Complete,Medium,SINGAPORE,Closed,2022-12-04,2022-07-04,2023-11-19,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Non-Borrowing,True,Global Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,2024-05-31,HK,778610,261109,354068,338453,Client meets all KYC requirements.,Amit Singh,2021-01-21,None,IN,Client decision,2939,Prospect_2939,User Referral,Silver,Gold,Group,Onboarding In Progress,18314.49,98309.93,12285.56,CASE104424,,Complete,High,HONG KONG,Closed,2022-03-03,2020-08-25,2023-03-13,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Finance Companies,David Chen,2021-12-16,US,495793,383393,294434,711733,Strong revenue potential.,Kunal Mehta,2025-04-01,None,AU,Client decision,1871,Prospect_1871,Self,Portfolio,Gold,Subsidiary,Onboarding In Progress,65875.58,94850.36,86229.68,CASE104425,,Business Acceptance,Low,HONG KONG,Closed,2023-04-26,2023-06-11,2022-09-03,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Borrowing,True,Financial Institution,Local Corporates,John Mathews,2025-02-15,HK,153202,739448,246980,693801,Strong revenue potential.,Sarah Lee,2025-05-28,Co-Borrower / Guarantor,SG,Auto disqualified,1745,Prospect_1745,Self,Disqualified,Platinum,Subsidiary,Converted,97280.39,7472.93,60790.33,CASE104426,,Complete,Low,HONG KONG,Open,2022-04-04,2025-06-20,2024-06-29,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,True
Borrowing,False,Financial Institution,Local Corporates,Lisa Wong,2021-05-08,HK,716564,435383,870484,611290,Client meets all KYC requirements.,Sarah Lee,2023-10-04,None,GB,Client decision,1190,Prospect_1190,Self,Qualified,Portfolio,Group,Draft,57936.44,90926.48,127628.44,CASE104427,,Complete,High,INDIA,Open,2023-03-19,2025-07-05,2020-06-16,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,False,Middle Market,Fintech - Other,Kunal Mehta,2025-10-23,HK,440282,917508,425942,522776,Strong revenue potential.,Lisa Wong,2020-06-26,None,SG,Auto disqualified,1785,Prospect_1785,User Referral,Disqualified,Portfolio,Group,Onboarding In Progress,83801.2,70653.89,53841.97,CASE104428,,Validation,Low,SINGAPORE,Closed,2021-03-12,2021-09-10,2022-05-24,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,False
Borrowing,False,Local Corporate,FI - Financial Sponsors,Kunal Mehta,2025-02-27,DE,974506,996505,873335,913146,Existing group relationship.,Lisa Wong,2020-09-29,Liquidity provider,GB,Auto disqualified,2386,Prospect_2386,Self,Portfolio,Gold,Subsidiary,Draft,76591.0,54060.57,123780.49,CASE104429,,Business Acceptance,Medium,SINGAPORE,Open,2024-10-09,2023-10-11,2023-01-09,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,True,Global Corporate,Origination GC,Maria Garcia,2023-07-16,US,927260,170210,609488,422955,Existing group relationship.,Priya Nair,2023-09-14,Transaction participation counterparty / SPV,AU,Client decision,1909,Prospect_1909,Self,Gold,Portfolio,Standalone,Draft,26209.68,23874.51,60174.1,CASE104430,,Business Acceptance,High,INDIA,Closed,2024-03-26,2024-09-10,2024-02-12,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Finance Companies,Priya Nair,2020-02-04,SG,563878,546200,860820,927454,Existing group relationship.,Sarah Lee,2023-01-01,Liquidity provider,GB,Client decision,2190,Prospect_2190,Self,Gold,Gold,Subsidiary,Onboarding In Progress,58302.51,18779.8,47111.14,CASE104431,,Complete,Medium,INDIA,Open,2025-01-13,2020-11-04,2022-11-16,Client onboarding completed successfully.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,Finance Companies,Emily Davis,2020-02-18,US,118330,661386,923512,636590,Client meets all KYC requirements.,Lisa Wong,2024-10-08,Transaction participation counterparty / SPV,GB,Auto disqualified,1076,Prospect_1076,Self,Gold,Gold,Group,Onboarding In Progress,70737.4,76081.0,148448.88,CASE104432,,Business Acceptance,High,HONG KONG,Open,2022-11-16,2021-01-09,2025-12-26,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,True
Borrowing,True,Global Corporate,Origination GC,David Chen,2022-05-13,US,244314,344313,178394,658833,Strong revenue potential.,Maria Garcia,2024-10-18,None,HK,Auto disqualified,1793,Prospect_1793,Self,Portfolio,Gold,Subsidiary,Onboarding In Progress,32223.46,25080.68,61663.02,CASE104433,,Complete,High,INDIA,Open,2020-05-17,2024-01-20,2022-04-19,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,True,Global Corporate,FI - Financial Sponsors,John Mathews,2024-04-03,AU,396484,675581,986331,144022,Strong revenue potential.,David Chen,2025-06-09,Liquidity provider,SG,Auto disqualified,1441,Prospect_1441,User Referral,Silver,Platinum,Group,Draft,61074.29,112385.97,42285.14,CASE104434,,Business Acceptance,Low,INDIA,Closed,2024-12-13,2023-11-12,2020-04-27,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Financial Institution,Local Corporates,Emily Davis,2021-02-16,GB,456612,561660,196600,886112,Existing group relationship.,Lisa Wong,2022-05-02,None,US,Client decision,1681,Prospect_1681,User Referral,Silver,Platinum,Standalone,Qualify,12939.35,115900.82,191622.48,CASE104435,,Complete,High,SINGAPORE,Open,2024-09-14,2022-07-30,2023-03-07,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Borrowing,True,Global Corporate,Financial Sponsors - Portfolio Companies,Maria Garcia,2023-08-25,DE,685277,160230,143085,388616,Client meets all KYC requirements.,Lisa Wong,2020-01-18,Liquidity provider,SG,Client decision,672,Prospect_672,User Referral,Lead,Platinum,Subsidiary,Converted,80077.22,43238.43,171304.72,CASE104436,,Validation,Low,SINGAPORE,Open,2025-09-23,2022-07-31,2023-01-22,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,True
Borrowing,False,Local Corporate,Origination GC,David Chen,2024-01-21,GB,900255,237404,545558,768887,Existing group relationship.,John Mathews,2022-04-09,Transaction participation counterparty / SPV,AU,Client decision,1320,Prospect_1320,User Referral,Converted,Portfolio,Standalone,Onboarding In Progress,31079.91,92608.79,95882.65,CASE104437,LE201321,Validation,Low,HONG KONG,Closed,2024-01-14,2025-08-30,2020-07-21,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Non-Borrowing,True,Global Corporate,Financial Sponsors - Portfolio Companies,Amit Singh,2022-11-29,DE,182119,457000,882179,736677,Client meets all KYC requirements.,Sarah Lee,2020-01-27,Co-Borrower / Guarantor,GB,Client decision,1706,Prospect_1706,User Referral,Disqualified,Gold,Group,Converted,30471.31,9364.85,14903.57,CASE104438,,Complete,Medium,INDIA,Open,2025-12-22,2023-04-07,2025-11-18,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Non-Borrowing,True,Local Corporate,Fintech - Other,John Mathews,2022-02-05,SG,431748,408908,765214,717180,Strong revenue potential.,Maria Garcia,2021-09-13,Co-Borrower / Guarantor,US,Client decision,159,Prospect_159,User Referral,Portfolio,Platinum,Subsidiary,Qualify,72951.9,136099.54,106286.1,CASE104439,,Complete,Medium,INDIA,Open,2023-07-12,2021-01-10,2020-07-10,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Non-Borrowing,True,Global Corporate,Middle Markets,Rohit Sharma,2022-12-12,GB,894713,689789,701294,655301,Strong revenue potential.,Sarah Lee,2025-10-12,Co-Borrower / Guarantor,US,Auto disqualified,2855,Prospect_2855,User Referral,Silver,Platinum,Group,Converted,78445.93,93959.53,7037.75,CASE104440,,Complete,Low,HONG KONG,Open,2025-01-02,2024-05-30,2020-10-11,Onboarding delayed due to missing tax documents.,New Business,New Business,True
Non-Borrowing,True,Global Corporate,Finance Companies,John Mathews,2022-08-29,DE,171734,120495,302049,208046,High strategic importance.,Priya Nair,2023-10-28,None,US,Client decision,411,Prospect_411,User Referral,Qualified,Portfolio,Group,Draft,73004.81,53271.18,166260.42,CASE104441,,Complete,High,HONG KONG,Closed,2023-01-13,2021-05-29,2020-05-17,Pending additional KYC documentation from client.,New Business,Refresh KYC,True
Borrowing,True,Financial Institution,Middle Markets,Amit Singh,2023-01-08,SG,187951,124939,995572,558055,Strong revenue potential.,David Chen,2022-04-17,None,HK,Client decision,2937,Prospect_2937,Self,Qualified,Platinum,Subsidiary,Qualify,33263.11,82776.16,84774.67,CASE104442,,Complete,Low,HONG KONG,Closed,2020-11-04,2020-03-11,2020-01-24,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Local Corporates,Emily Davis,2025-04-14,DE,875388,611373,881315,816316,High strategic importance.,Emily Davis,2021-10-07,None,IN,Auto disqualified,1361,Prospect_1361,Self,Converted,Platinum,Standalone,Draft,92049.27,52447.53,42838.83,CASE104443,LE201362,Complete,Low,INDIA,Open,2020-12-18,2024-11-14,2024-09-01,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Non-Borrowing,True,Global Corporate,Middle Markets,Rohit Sharma,2023-11-06,HK,141051,479289,321852,901025,Client meets all KYC requirements.,Amit Singh,2025-03-07,Liquidity provider,GB,Client decision,478,Prospect_478,User Referral,Portfolio,Platinum,Subsidiary,Draft,59511.23,12147.16,152871.01,CASE104444,,Business Acceptance,High,SINGAPORE,Closed,2020-08-11,2022-01-28,2023-08-27,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Global Corporate,Middle Markets,David Chen,2024-02-07,HK,716503,122701,598864,556522,Client meets all KYC requirements.,Rohit Sharma,2022-01-02,None,GB,Auto disqualified,646,Prospect_646,User Referral,Portfolio,Platinum,Group,Draft,35948.32,39332.42,33045.32,CASE104445,,Business Acceptance,High,HONG KONG,Open,2024-06-07,2025-09-15,2024-06-29,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Borrowing,False,Local Corporate,Global Subsidiaries GC,Lisa Wong,2022-01-23,US,357767,446297,975868,926056,High strategic importance.,Maria Garcia,2025-05-15,Transaction participation counterparty / SPV,SG,Auto disqualified,715,Prospect_715,User Referral,Gold,Gold,Subsidiary,Qualify,34661.94,1554.81,139167.39,CASE104446,,Complete,Medium,HONG KONG,Closed,2024-11-23,2020-12-22,2021-01-17,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Non-Borrowing,True,Global Corporate,Origination GC,David Chen,2025-08-04,HK,492370,357993,983586,319023,Strong revenue potential.,John Mathews,2024-04-22,None,US,Auto disqualified,2950,Prospect_2950,User Referral,Disqualified,Gold,Group,Converted,7889.48,115878.92,127866.73,CASE104447,,Validation,Low,HONG KONG,Open,2025-02-17,2023-08-07,2022-06-03,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
Borrowing,False,Middle Market,Origination GC,Maria Garcia,2024-10-02,GB,681571,302107,241621,242777,Client meets all KYC requirements.,Lisa Wong,2024-10-27,Co-Borrower / Guarantor,HK,Auto disqualified,2270,Prospect_2270,Self,Portfolio,Gold,Subsidiary,Converted,16719.75,144992.65,32272.72,CASE104448,,Validation,High,HONG KONG,Closed,2021-09-11,2024-07-31,2022-02-09,Client classified as low risk after initial screening.,New Business,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Finance Companies,Rohit Sharma,2022-05-12,IN,159309,616407,662939,642881,Client meets all KYC requirements.,Lisa Wong,2022-06-28,None,DE,Auto disqualified,82,Prospect_82,Self,Lead,Platinum,Standalone,Onboarding In Progress,65352.85,45932.07,132860.91,CASE104449,,Complete,High,SINGAPORE,Open,2024-10-22,2024-06-16,2022-02-19,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,False,Local Corporate,Hedge Funds,John Mathews,2024-09-12,US,505564,550397,405044,823965,High strategic importance.,Lisa Wong,2022-11-10,Transaction participation counterparty / SPV,DE,Auto disqualified,809,Prospect_809,Self,Lead,Gold,Subsidiary,Draft,31456.97,107568.17,156433.61,CASE104450,,Validation,Medium,INDIA,Open,2023-04-01,2020-08-07,2020-12-17,Client onboarding completed successfully.,New Business,New Business,True
Non-Borrowing,False,Financial Institution,Origination GC,Priya Nair,2024-03-04,SG,949767,815551,381679,501834,Strong revenue potential.,Amit Singh,2023-07-21,Liquidity provider,DE,Auto disqualified,388,Prospect_388,User Referral,Portfolio,Portfolio,Standalone,Draft,25792.18,78535.45,155500.3,CASE104451,,Complete,Medium,HONG KONG,Open,2021-01-10,2022-03-01,2024-06-16,Client classified as low risk after initial screening.,New Business,Refresh KYC,False
Non-Borrowing,True,Middle Market,Origination GC,Amit Singh,2024-02-04,HK,405268,488173,480971,583351,Client meets all KYC requirements.,Sarah Lee,2020-10-12,Transaction participation counterparty / SPV,US,Auto disqualified,1504,Prospect_1504,Self,Gold,Gold,Standalone,Converted,509.47,3187.22,120694.45,CASE104452,,Validation,Medium,SINGAPORE,Open,2025-08-26,2020-04-19,2025-04-11,Client onboarding completed successfully.,Refresh KYC,New Business,True
Borrowing,True,Middle Market,Finance Companies,Rohit Sharma,2024-06-28,US,444653,260278,172595,670608,Existing group relationship.,Amit Singh,2024-02-28,Transaction participation counterparty / SPV,SG,Auto disqualified,521,Prospect_521,User Referral,Lead,Platinum,Subsidiary,Draft,84385.78,146175.34,19256.79,CASE104453,,Business Acceptance,Medium,HONG KONG,Closed,2025-01-07,2025-12-31,2021-11-20,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Middle Market,Finance Companies,Lisa Wong,2023-02-19,US,227211,254128,296066,334469,Existing group relationship.,John Mathews,2020-09-07,Co-Borrower / Guarantor,IN,Client decision,67,Prospect_67,Self,Gold,Gold,Group,Qualify,27179.69,144372.25,34231.78,CASE104454,,Business Acceptance,High,HONG KONG,Closed,2022-08-25,2020-08-25,2024-05-13,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,True
Borrowing,False,Local Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,2025-01-20,US,487104,143129,360024,367365,Strong revenue potential.,Amit Singh,2021-11-05,Co-Borrower / Guarantor,GB,Auto disqualified,1563,Prospect_1563,User Referral,Lead,Gold,Standalone,Draft,30715.07,133457.81,59514.98,CASE104455,,Validation,Medium,INDIA,Closed,2025-01-17,2023-12-10,2024-04-25,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,True
Borrowing,True,Middle Market,Middle Markets,Rohit Sharma,2022-01-06,HK,447702,759683,240271,396216,Existing group relationship.,Lisa Wong,2023-08-03,Transaction participation counterparty / SPV,US,Auto disqualified,2371,Prospect_2371,User Referral,Portfolio,Portfolio,Standalone,Qualify,99396.2,47243.23,187463.99,CASE104456,,Validation,High,SINGAPORE,Closed,2023-07-22,2020-12-09,2023-03-25,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Borrowing,False,Local Corporate,Finance Companies,Maria Garcia,2021-06-21,SG,676754,559740,571769,308296,Strong revenue potential.,David Chen,2021-05-30,Liquidity provider,GB,Client decision,46,Prospect_46,Self,Qualified,Portfolio,Subsidiary,Onboarding In Progress,47863.26,20087.95,19170.37,CASE104457,,Validation,High,INDIA,Closed,2022-06-06,2025-11-08,2020-03-11,Pending additional KYC documentation from client.,New Business,New Business,True
Borrowing,False,Local Corporate,Local Corporates,Priya Nair,2022-07-25,US,543153,981838,879462,635156,Strong revenue potential.,Lisa Wong,2025-10-22,None,SG,Auto disqualified,475,Prospect_475,User Referral,Qualified,Platinum,Standalone,Onboarding In Progress,53689.08,47215.71,109892.77,CASE104458,,Validation,Low,INDIA,Open,2025-02-04,2022-06-01,2022-08-31,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Borrowing,False,Global Corporate,Finance Companies,Sarah Lee,2021-02-13,US,124459,966186,621907,508096,Strong revenue potential.,Maria Garcia,2024-02-27,Co-Borrower / Guarantor,AU,Auto disqualified,1208,Prospect_1208,User Referral,Silver,Gold,Group,Converted,5894.94,110542.67,178472.5,CASE104459,,Business Acceptance,Low,SINGAPORE,Open,2025-04-20,2022-12-13,2020-07-16,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,True,Local Corporate,FI - Financial Sponsors,Rohit Sharma,2023-01-10,US,407220,345973,422767,595467,Strong revenue potential.,Amit Singh,2023-05-13,Transaction participation counterparty / SPV,IN,Client decision,1209,Prospect_1209,User Referral,Silver,Portfolio,Standalone,Converted,50792.45,71687.46,87638.16,CASE104460,,Business Acceptance,Low,INDIA,Open,2020-08-02,2022-03-30,2025-01-04,Client onboarding completed successfully.,New Business,New Business,False
Non-Borrowing,False,Middle Market,Finance Companies,Rohit Sharma,2022-08-23,AU,634368,964858,828976,583069,Client meets all KYC requirements.,Amit Singh,2024-10-12,Co-Borrower / Guarantor,DE,Client decision,2020,Prospect_2020,User Referral,Portfolio,Gold,Group,Draft,42582.49,137542.39,176220.98,CASE104461,,Complete,High,HONG KONG,Open,2020-10-23,2023-01-27,2023-11-22,Pending additional KYC documentation from client.,New Business,Refresh KYC,False
Borrowing,True,Local Corporate,Origination GC,David Chen,2024-11-05,HK,382312,538323,616289,382922,Client meets all KYC requirements.,Priya Nair,2021-03-12,None,HK,Auto disqualified,2509,Prospect_2509,Self,Gold,Portfolio,Subsidiary,Onboarding In Progress,87014.5,2921.96,64586.91,CASE104462,,Business Acceptance,Low,SINGAPORE,Closed,2021-10-17,2022-04-18,2020-01-12,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Local Corporate,Financial Sponsors - Portfolio Companies,Kunal Mehta,2024-04-09,AU,969529,481857,232107,801456,Existing group relationship.,Priya Nair,2022-09-04,Liquidity provider,IN,Auto disqualified,624,Prospect_624,User Referral,Disqualified,Gold,Subsidiary,Onboarding In Progress,52288.1,144230.55,88466.83,CASE104463,,Business Acceptance,High,SINGAPORE,Closed,2023-02-15,2024-07-26,2023-10-11,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,True
Borrowing,True,Financial Institution,Global Subsidiaries GC,John Mathews,2022-03-14,GB,330653,435163,418393,561830,Existing group relationship.,Emily Davis,2020-01-19,None,AU,Auto disqualified,2062,Prospect_2062,User Referral,Disqualified,Portfolio,Standalone,Draft,86918.97,143704.31,119180.09,CASE104464,,Business Acceptance,Low,INDIA,Open,2022-05-21,2022-10-19,2020-04-20,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,True
Non-Borrowing,False,Middle Market,Finance Companies,Kunal Mehta,2021-08-20,SG,918324,355264,737644,565850,Existing group relationship.,Lisa Wong,2025-03-28,Liquidity provider,HK,Client decision,357,Prospect_357,Self,Converted,Portfolio,Standalone,Onboarding In Progress,75481.24,117651.13,130222.9,CASE104465,LE200358,Complete,High,INDIA,Open,2021-03-24,2023-08-10,2024-10-29,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,False,Local Corporate,Hedge Funds,David Chen,2021-09-04,US,758325,774964,877604,599226,Client meets all KYC requirements.,Rohit Sharma,2022-02-19,None,US,Auto disqualified,313,Prospect_313,Self,Gold,Gold,Standalone,Onboarding In Progress,1262.14,76092.28,78532.91,CASE104466,,Complete,Medium,INDIA,Closed,2024-11-01,2024-11-17,2023-02-13,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,True,Global Corporate,FI - Financial Sponsors,Sarah Lee,2025-04-21,AU,656726,684087,124399,583875,Client meets all KYC requirements.,Rohit Sharma,2020-02-01,Co-Borrower / Guarantor,AU,Client decision,541,Prospect_541,User Referral,Qualified,Platinum,Subsidiary,Converted,97303.87,53736.82,91996.66,CASE104467,,Business Acceptance,High,HONG KONG,Open,2022-12-25,2025-11-30,2020-03-25,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,False
Non-Borrowing,True,Local Corporate,Local Corporates,Kunal Mehta,2020-02-09,US,823240,186547,674589,482952,High strategic importance.,Kunal Mehta,2025-04-16,None,IN,Auto disqualified,2520,Prospect_2520,User Referral,Converted,Portfolio,Subsidiary,Onboarding In Progress,7322.45,143336.14,122508.64,CASE104468,LE202521,Validation,Medium,INDIA,Open,2023-12-30,2020-09-07,2025-10-14,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,False
Borrowing,True,Local Corporate,Finance Companies,Amit Singh,2021-12-24,AU,861322,889872,311291,908338,Existing group relationship.,Emily Davis,2021-05-27,Transaction participation counterparty / SPV,US,Auto disqualified,2959,Prospect_2959,Self,Lead,Platinum,Group,Converted,3499.32,103363.38,170292.46,CASE104469,,Complete,High,SINGAPORE,Open,2025-11-06,2025-11-09,2021-04-17,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Borrowing,False,Financial Institution,Middle Markets,Amit Singh,2024-09-22,US,276900,623587,402151,733102,Strong revenue potential.,John Mathews,2020-02-02,None,IN,Client decision,1166,Prospect_1166,Self,Portfolio,Portfolio,Group,Draft,31011.48,114659.75,71317.3,CASE104470,,Business Acceptance,Low,HONG KONG,Open,2021-08-26,2025-08-04,2020-09-03,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,False
Non-Borrowing,False,Middle Market,Middle Markets,Rohit Sharma,2025-08-08,DE,465611,433412,829527,241381,Existing group relationship.,Priya Nair,2025-02-13,Transaction participation counterparty / SPV,US,Auto disqualified,2920,Prospect_2920,Self,Silver,Platinum,Standalone,Converted,42423.09,121236.03,111902.97,CASE104471,,Business Acceptance,Low,HONG KONG,Open,2022-11-25,2024-12-19,2024-03-18,"High potential client, fast-track onboarding recommended.",New Business,New Business,False
